159,185,186,153,63,51,12,0,0,0,0,0,0,0,0,0
111,168,170,136,39,10,0,0,0,0,0,0,0,0,0,0
232,220,188,153,78,23,0,0,0,0,0,0,0,0,0,0
255,255,230,152,58,18,9,0,0,0,0,0,0,0,0,0
234,222,181,103,25,0,0,0,0,0,0,0,0,0,0,0
191,199,168,83,38,0,0,0,0,0,0,0,0,0,0,0
207,198,159,83,54,0,0,0,0,0,0,0,0,0,0,0
213,249,226,134,73,61,48,34,21,10,0,0,0,0,0,0
175,218,205,154,71,23,17,1,0,0,0,0,0,0,0,0
216,235,228,187,67,87,53,0,0,0,0,0,0,0,0,0
226,231,217,172,117,99,42,0,0,0,0,0,0,0,0,0
186,198,192,157,110,76,34,0,0,0,0,0,0,0,0,0
137,173,169,134,106,83,25,0,0,0,0,0,0,0,0,0
108,153,150,111,90,73,16,0,0,0,0,0,0,0,0,0
69,111,108,62,57,39,0,0,0,0,0,0,0,0,0,0
190,158,203,209,185,108,70,5,0,0,0,0,0,0,0,0
215,195,171,174,145,103,55,0,0,0,0,0,0,0,0,0
170,160,164,157,135,128,78,0,0,0,0,0,0,0,0,0
167,177,170,137,126,102,57,0,0,0,0,0,0,0,0,0
161,193,190,150,141,134,89,0,0,0,0,0,0,0,0,0
198,214,220,198,142,99,56,0,0,0,0,0,0,0,0,0
255,255,230,153,141,132,87,2,0,0,0,0,0,0,0,0
246,237,223,205,171,136,94,0,0,0,0,0,0,0,0,0
225,216,190,176,147,117,69,0,0,0,0,0,0,0,0,0
195,193,210,202,180,151,93,0,0,0,0,0,0,0,0,0
184,183,184,168,159,131,66,0,0,0,0,0,0,0,0,0
234,229,203,154,131,121,57,8,0,0,0,0,0,0,0,0
230,248,242,216,185,151,99,0,0,0,0,0,0,0,0,0
216,218,201,175,164,139,83,0,0,0,0,0,0,0,0,0
188,186,170,157,157,141,87,0,0,0,0,0,0,0,0,0
235,230,221,201,157,113,39,0,0,0,0,0,0,0,0,0
197,193,183,164,141,109,63,0,0,0,0,0,0,0,0,0
184,189,182,154,135,113,59,0,0,0,0,0,0,0,0,0
151,192,191,157,92,74,37,0,0,0,0,0,0,0,0,0
153,197,205,194,158,98,56,0,0,0,0,0,0,0,0,0
